nome,fome,saude,idade
Melissa,3,9,74
Aretha,3,8,42
Brianna,4,6,29
Adena,9,1,29
Amaya,6,9,7
Kaitlin,5,1,59
Abdul,9,7,79
Shaine,5,6,99
Hashim,10,5,1
Rowan,4,3,63
Lucas,8,7,76
Jordan,7,9,80
Omar,2,2,78
Velma,4,9,44
Evangeline,1,7,64
Miriam,1,6,26
Lacota,1,3,67
Tanner,0,4,62
Caleb,6,9,8
Meredith,9,6,1
Faith,2,4,92
Daphne,7,1,75
Reed,1,3,77
Candace,2,7,14
Mariko,4,1,66
Chantale,3,6,28
Scott,4,7,96
Nicole,1,2,4
Timothy,1,4,6
Samuel,6,5,16
Edan,3,5,20
Kelsey,6,6,14
Hedley,9,4,71
Allistair,7,6,97
Sydnee,9,1,38
Nicole,2,4,54
Sylvia,5,9,82
Tamara,4,6,67
Cecilia,7,10,60
Ruth,9,2,50
Hayfa,3,10,84
Sage,10,4,90
Shoshana,1,8,21
Jakeem,2,7,25
Aladdin,1,2,63
Russell,5,2,94
Harper,7,5,44
Brady,1,8,43
Ciaran,2,5,35
Cody,2,5,52
Mona,8,6,73
Yuli,5,3,82
Aristotle,5,5,81
Xandra,3,2,60
Molly,7,2,86
Kathleen,5,4,4
Oliver,8,7,16
Maggie,5,5,22
Deanna,2,8,85
Linus,1,1,91
Quentin,2,6,20
Ginger,1,5,26
Sebastian,5,7,19
Tarik,8,2,3
Tara,3,3,17
Gray,3,4,97
Rylee,3,8,98
Ruth,8,7,77
Hiram,1,4,69
Ifeoma,8,2,54
Quyn,9,4,28
Breanna,1,3,90
Tobias,2,3,2
Zelda,0,2,11
Gary,3,5,4
Mara,9,1,91
Bo,0,8,97
MacKenzie,9,5,15
Daria,10,1,60
Ryder,1,4,7
Deborah,8,0,63
Axel,7,8,56
Serena,8,4,26
Lev,7,2,98
Mikayla,4,9,0
Jesse,10,5,18
Maris,8,0,35
Addison,3,1,61
Dennis,6,6,90
Cassady,3,1,85
Denise,1,6,99
Aline,8,7,75
Ray,3,4,10
Olga,9,1,21
Jonas,7,0,53
Winter,4,10,95
Beck,4,9,58
Adria,10,3,61
Halla,3,1,67
Mollie,10,7,43
